Polish sentence	English meaning	Frequency
Mogę coś zjeść?	May I eat something?	[ 24 38 311 ]
Widziałem ją wczoraj.	I saw her yesterday.	[ 245 68 60 ]
Mam ten sam problem co ty.	I have the same trouble as you have.	[ 43 23 225 336 22 98 ]
Ci ludzie nie mają teraz pracy.	Those people now had no jobs.	[ 18 250 5 117 63 294 ]
Muszę iść.	I have got to go now.	[ 162 88 ]
Co ja mogę o nim powiedzieć?	What can I say about him?	[ 22 206 24 13 194 291 ]
Nie rozumiem czego on ode mnie chce.	I don't understand what he wants me to do.	[ 5 173 198 65 292 14 131 ]
Znam ją.	I know her.	[ 183 68 ]
Czy to twoje rzeczy?	Are these your things?	[ 67 6 91 338 ]
Nie rozumiem o co tutaj chodzi.	I don't know what's going on here.	[ 5 173 13 22 78 464 ]
Nie jestem nauczycielem.	I am not a teacher.	[ 5 30 343 ]
Jest tam kto?	Is there anybody here?	[ 1 40 337 ]
On ma bilet.	He has a ticket.	[ 65 12 301 ]
Zupełnie jej nie znam.	I don't know her at all.	[ 283 33 5 183 ]
Ten słownik nie należy do mnie.	This dictionary doesn't belong to me.	[ 23 527 5 181 7 14 ]
Czego jeszcze ode mnie chcesz?	What more do you want from me?	[ 198 56 292 14 74 ]
Jestem na nią zły.	I'm angry with her.	[ 30 4 174 300 ]
Nie masz dla mnie czasu.	You do not have time for me.	[ 5 37 31 14 549 ]
To mój problem.	That's my problem.	[ 6 41 336 ]
Teraz czuję się dobrze.	I'm feeling fine now.	[ 63 366 2 80 ]
Jutro będę w domu.	I will be at home tomorrow.	[ 106 146 3 256 ]
On bardzo dobrze gra w tenisa.	He can play tennis very well.	[ 65 15 80 148 3 458 ]
To jest wiadomość dla Ciebie.	There is a message for you.	[ 6 1 528 31 75 ]
Czy to twoja siostra?	Is she your sister?	[ 67 6 105 335 ]
Coś nowego?	Anything new?	[ 38 219 ]
O czym ty mówisz?	What are you talking about?	[ 13 152 98 251 ]
Nie wiem, co mam teraz robić.	I don't know what to do from now on.	[ 5 154 22 43 63 484 ]
Jestem bez pracy.	I am out of work.	[ 30 62 294 ]
Jestem bez pracy.	I'm unemployed.	[ 30 62 294 ]
To był długi list.	It was a long letter.	[ 6 28 290 191 ]
Zawsze chciałem to powiedzieć.	I've always wanted to say that.	[ 79 139 6 291 ]
Wiem w czym jest problem.	I know what the problem is.	[ 154 3 152 1 336 ]
O co ci chodzi?	What do you mean?	[ 13 22 18 464 ]
O co ci chodzi?	What are you getting at?	[ 13 22 18 464 ]
On nie biega tak szybko jak ja.	He does not run as fast as I.	[ 65 5 454 54 101 20 206 ]
Musisz iść.	You must go.	[ 171 88 ]
On uczy się prowadzić samochód.	He is learning how to drive a car.	[ 65 134 2 325 122 ]
Kim są ci ludzie?	Who are these people?	[ 234 17 18 250 ]
W czym mogę pomóc?	How can I help you?	[ 3 152 24 341 ]
W czym mogę pomóc?	What can I help you with?	[ 3 152 24 341 ]
W czym mogę pomóc?	How may I help you?	[ 3 152 24 341 ]
Mój ojciec kupił nowy samochód.	My father bought a new car.	[ 41 115 273 99 122 ]
Masz jutro czas?	Are you free tomorrow?	[ 37 106 248 ]
Było coś takiego?	Was there such a thing?	[ 36 38 317 ]
Ja też nie rozumiem.	I don't understand either.	[ 206 138 5 173 ]
Wciąż bardzo lubię ten rower.	I still love this bicycle.	[ 218 15 47 23 350 ]
On był bardzo stary.	He was very old.	[ 65 28 15 415 ]
Co chcesz na śniadanie?	What do you want for breakfast?	[ 22 74 4 424 ]
Jak wysoki on jest?	How tall is he?	[ 20 438 65 1 ]
Nie wiem, o kim mówisz.	I don't know what you're talking about.	[ 5 154 13 234 251 ]
Mój dom jest obok szkoły.	My house is near the school.	[ 41 103 1 280 232 ]
Jest bardzo uprzejmy.	He is very kind.	[ 1 15 381 ]
To mój rower.	This bicycle is mine.	[ 6 41 350 ]
Jestem dziś bardzo zajęty.	I'm very busy today.	[ 30 69 15 416 ]
On nie ma pieniędzy.	He has no money.	[ 65 5 12 448 ]
Nie zapomnij.	Don't forget.	[ 5 261 ]
Czy napisał już ten list?	Has he written the letter yet?	[ 67 360 25 23 191 ]
Co lubisz?	What are you fond of?	[ 22 246 ]
Mam ci pomóc?	Do you wish me to help?	[ 43 18 341 ]
Wiesz, że nie mogę.	You know I can't.	[ 497 10 5 24 ]
Czy ktoś go zna?	Does anybody know him?	[ 67 190 21 259 ]
On lubi grać w tenisa.	He enjoys playing tennis.	[ 65 35 111 3 458 ]
Co on teraz robi?	What is he doing now?	[ 22 65 63 388 ]
Naprawdę nie chcesz jechać?	Are you seriously thinking about not going?	[ 83 5 74 377 ]
To taki sam rower jak mój.	That is the same bicycle as I have.	[ 6 167 225 350 20 41 ]
Dał mi tę książkę.	He gave me this book.	[ 331 9 59 141 ]
Twój pies jest bardzo duży.	Your dog is very big.	[ 39 215 1 15 409 ]
Ten pokój jest zbyt duży.	This room is too big.	[ 23 143 1 108 409 ]
Nie całkiem cię rozumiem.	I don't quite follow you.	[ 5 346 26 173 ]
On mieszka gdzieś tutaj.	He lives somewhere about here.	[ 65 180 227 78 ]
Lubię czytać książki.	I like reading books.	[ 47 137 229 ]
Prawie nie ma książek.	There are almost no books.	[ 129 5 12 405 ]
Muszę iść do pracy.	I have to go to work.	[ 162 88 7 294 ]
Znam ich.	I know them.	[ 183 93 ]
Twój dom jest duży.	Your house is big.	[ 39 103 1 409 ]
Co z nami będzie?	What will we become?	[ 22 8 471 51 ]
Możesz zostać tu na chwilę, jeśli chcesz.	You can stay here for a while if you want to.	[ 104 85 32 4 489 178 74 ]
Tu nie mówi się po angielsku.	English is not spoken here.	[ 32 5 73 2 16 701 ]
Ona bardzo dobrze gra w tenisa.	She plays tennis very well.	[ 125 15 80 148 3 458 ]
Rozumiem twój język.	I can understand your language.	[ 173 39 203 ]
Mój dom jest duży.	My house is big.	[ 41 103 1 409 ]
O czym mówisz?	What are you talking about?	[ 13 152 251 ]
Chciałbym być tam z tobą.	I wish I had been there with you.	[ 469 50 40 8 127 ]
Czy twoja mama jest w domu?	Is your mum at home?	[ 67 105 401 1 3 256 ]
Mógłbym zostać.	I might stay.	[ 193 85 ]
To zależy od ciebie.	It is up to you.	[ 6 446 29 75 ]
To zależy od ciebie.	It's up to you.	[ 6 446 29 75 ]
Naprawdę chcesz kupić ten stary samochód?	Are you seriously thinking about buying that old car?	[ 83 74 120 23 415 122 ]
Gdzie jest problem?	Where is the problem?	[ 84 1 336 ]
Ona je za dwóch.	She's eating for two.	[ 125 187 11 239 ]
Chcę kupić je wszystkie.	I want to buy them all.	[ 77 120 187 179 ]
Gdzie byłeś wczoraj?	Where were you yesterday?	[ 84 279 60 ]
Chcesz coś zjeść?	Do you feel like eating?	[ 74 38 311 ]
Gdzie byłeś wczoraj?	Where have you been yesterday?	[ 84 279 60 ]
Już gdzieś ją widziałem.	I remember seeing her somewhere.	[ 25 227 68 245 ]
Jak wysoki jest twój brat?	How tall is your brother?	[ 20 438 1 39 209 ]
Nie zapomnij napisać do mnie.	Don't forget to write me.	[ 5 261 420 7 14 ]
Nawet nie wiem, jak miał na imię.	I didn't even know his name.	[ 404 5 154 20 150 4 253 ]
Kim jesteś?	Who are you?	[ 234 49 ]
Kim jesteś?	What are you?	[ 234 49 ]
Ona uczy się prowadzić samochód.	She is learning how to drive a car.	[ 125 134 2 325 122 ]
Nie wiem, co mam robić.	I don't know what to do.	[ 5 154 22 43 484 ]
Chcę coś zjeść.	I want to eat something.	[ 77 38 311 ]
Wiem czego chcesz.	I know what you want.	[ 154 198 74 ]
Nie wiem zupełnie nic.	I know absolutely nothing.	[ 5 154 283 126 ]
Ona ma jeszcze więcej książek.	She has even more books.	[ 125 12 56 113 405 ]
Nie mogłem znaleźć jego domu.	I couldn't find his house.	[ 5 164 254 34 256 ]
Mam dwie książki.	I have two books.	[ 43 156 229 ]
Lubię tego psa.	I like this dog.	[ 47 19 362 ]
Lubię tego psa.	I like that dog.	[ 47 19 362 ]
Powinieneś zostawić to na jutro.	You should leave it for tomorrow.	[ 158 441 6 4 106 ]
Mój ojciec jest zajęty.	My father is busy.	[ 41 115 1 416 ]
Byłem czym jesteś, będziesz czym jestem.	I was what you are, you'll be what I am.	[ 124 152 49 353 152 30 ]
Nie wydaje mi się, że on przyjdzie.	I don't think he'll come.	[ 5 552 9 2 10 65 361 ]
Naprawdę chcesz tam jechać?	Are you seriously thinking about going?	[ 83 74 40 377 ]
Chciałbym żeby on tu teraz był.	I wish he were here now.	[ 469 205 65 32 63 28 ]
Dlaczego on nie może dziś grać w tenisa?	Why can't he play tennis today?	[ 387 65 5 53 69 111 3 458 ]
Co znajduje się tam?	What is over there?	[ 22 513 2 40 ]
Chce mi się spać.	I want to sleep.	[ 131 9 2 435 ]
Mam dla ciebie wiadomość od niej.	I have a message for you from her.	[ 43 31 75 528 29 160 ]
Czego ode mnie chcesz?	What do you want from me?	[ 198 292 14 74 ]
Czego chcesz ode mnie?	What do you want from me?	[ 198 74 292 14 ]
Co ona ci zrobiła?	What has she done to you?	[ 22 125 18 413 ]
On ma więcej książek niż ja.	He has more books than I do.	[ 65 12 113 405 66 206 ]
Mam za mało pieniędzy, by to kupić.	I have not enough money to buy it.	[ 43 11 263 448 121 6 120 ]
Zapomnij o niej.	Forget about her.	[ 261 13 160 ]
Jeśli chcesz, to możesz wziąć mój samochód.	You can use my car if you like.	[ 178 74 6 104 488 41 122 ]
Jestem tu cały czas.	I'm here all the time.	[ 30 32 269 248 ]
On gra w swoim pokoju.	He is playing in his room.	[ 65 148 3 211 297 ]
Ona wie za dużo.	She knows too much.	[ 125 402 11 42 ]
To jest to co w niej kocham.	That's what I love about her.	[ 6 1 6 22 3 160 820 ]
Muszę go znaleźć.	I have to find it.	[ 162 21 254 ]
To jest ładny dom.	It's a pretty house.	[ 6 1 474 103 ]
To tak nie działa.	It doesn't work like that.	[ 6 54 5 519 ]
Wiem, co możemy zrobić.	I know what we can do.	[ 154 22 242 169 ]
On właśnie teraz pisze książkę.	He is writing a book.	[ 65 145 63 322 141 ]
Nie martw się o to.	Do not worry about that!	[ 5 710 2 13 6 ]
Rozumiem, o czym mówisz.	I understand what you mean.	[ 173 13 152 251 ]
Ona być może przyjdzie.	She may come.	[ 125 50 53 361 ]
Teraz ja rozumiem.	I understand now.	[ 63 206 173 ]
Nie mam przy sobie pieniędzy.	I don't have any money on me.	[ 5 43 170 71 448 ]
Nie mam przy sobie pieniędzy.	I am not carrying any cash.	[ 5 43 170 71 448 ]
To już czas żebyś poszedł do szkoły.	It's about time you went to school.	[ 6 25 248 184 334 7 232 ]
Nie wiem kogo chcesz zobaczyć.	I don't know who you want to see.	[ 5 154 326 74 182 ]
Nie mówię po angielsku tak dobrze jak on.	I can't speak English as well as he.	[ 5 247 16 701 54 80 20 65 ]
Rozumiem co mówisz.	I understand what you're saying.	[ 173 22 251 ]
Czy jesteś teraz zajęty?	Are you busy now?	[ 67 49 63 416 ]
Mój ojciec jest wysoki.	My father is tall.	[ 41 115 1 438 ]
Jesteś stąd?	Are you from here?	[ 49 249 ]
Powiedz mi, gdzie on jest.	Tell me where he is.	[ 587 9 84 65 1 ]
On ma trochę pieniędzy.	He has a little money.	[ 65 12 72 448 ]
Czuję się dobrze.	I feel good.	[ 366 2 80 ]
Rozumiem, dlaczego nie chcesz tam jeść.	I can understand why you don't want to eat there.	[ 173 387 5 74 40 217 ]
Byłeś wczoraj w domu.	You were at home yesterday.	[ 279 60 3 256 ]
Czas iść do domu.	It's time to go home.	[ 248 88 7 256 ]
Naprawdę powinienem już iść.	I really should go.	[ 83 403 25 88 ]
To nic, nie bój się.	It's nothing, don't be afraid!	[ 6 126 5 612 2 ]
Nie mówisz nic nowego.	You are just stating the obvious.	[ 5 251 126 219 ]
To jest to co w nim kocham.	That's what I love about him.	[ 6 1 6 22 3 194 820 ]
Życie jest bardzo krótkie.	Life is very short.	[ 228 1 15 358 ]
Wiem więcej niż ci się wydaje.	I know more than you think.	[ 154 113 66 18 2 552 ]
Nie mam książek.	I haven't got books.	[ 5 43 405 ]
Mam cały dom dla siebie.	I have the house all to myself.	[ 43 269 103 31 309 ]
Jestem gotowy, by zrobić dla Ciebie wszystko.	I am ready to do anything for you.	[ 30 537 121 169 31 75 94 ]
Jest bardzo wysoki.	He is very tall.	[ 1 15 438 ]
Możesz mi pomóc?	Can you help me?	[ 104 9 341 ]
Co robisz w moim domu?	What're you doing in my house?	[ 22 375 3 102 256 ]
Każdy może to zrobić.	Anyone can do that.	[ 379 53 6 169 ]
Każdy to może zrobić.	Anybody can do this.	[ 379 6 53 169 ]
Nie zapomnij, żeby do mnie napisać.	Don't forget to write to me.	[ 5 261 205 7 14 420 ]
Wszystko jest dobre.	All is well.	[ 94 1 364 ]
Jest dokładnie tak, jak mówisz.	It's exactly as you say it is.	[ 1 439 54 20 251 ]
Ona wie o czym mówi.	She knows what she's talking about.	[ 125 402 13 152 73 ]
Dużo masz przy sobie pieniędzy?	Do you have much money with you?	[ 42 37 170 71 448 ]
Czy on mówi po angielsku ?	Can he speak English?	[ 67 65 73 16 701 ]
Naprawdę chcesz mieć dziecko?	Are you seriously thinking about having a baby?	[ 83 74 166 293 ]
Jak możesz powiedzieć coś takiego?	How can you say that?	[ 20 104 291 38 317 ]
Lubię grać w tenisa.	I like to play tennis.	[ 47 111 3 458 ]
Mam przy sobie dużo pieniędzy.	I have plenty of money with me.	[ 43 170 71 42 448 ]
Możesz mi wysłać ten list?	Can you mail this letter for me?	[ 104 9 447 23 191 ]
To jest mój kot.	That's my cat.	[ 6 1 41 574 ]
To jest mój kot.	That's my pussy.	[ 6 1 41 574 ]
Jego dom był mały i stary.	His house was small and old.	[ 34 103 28 327 27 415 ]
Ona je.	She is eating.	[ 125 187 ]
Dlaczego tu jesteś?	Why are you here?	[ 387 32 49 ]
Jesteś za duży.	You're too big.	[ 49 11 409 ]
To jest za duże.	This is too big.	[ 6 1 11 608 ]
To jest za duże.	It's too big.	[ 6 1 11 608 ]
To jest za duże.	It's too large.	[ 6 1 11 608 ]
Ona tylko dziecko.	She is nothing but a child.	[ 125 52 293 ]
Powinieneś był zobaczyć ten film.	You should have seen the film.	[ 158 28 182 23 393 ]
Jeszcze nie jestem gotowy.	I'm not ready yet.	[ 56 5 30 537 ]
Nie jestem jeszcze gotowy.	I am not ready yet.	[ 5 30 56 537 ]
Jeszcze nie jestem gotowy.	I am not ready yet.	[ 56 5 30 537 ]
Nie martw się, wszystko będzie dobrze.	Don't worry, everything will be OK.	[ 5 710 2 94 51 80 ]
On nie wie.	He does not know.	[ 65 5 402 ]
To jest bardzo duże.	It's very big.	[ 6 1 15 608 ]
To jest bardzo duże.	That's very big.	[ 6 1 15 608 ]
Znam go całkiem dobrze.	I know him quite well.	[ 183 21 346 80 ]
On zna bardzo wielu ludzi.	He knows a lot of people.	[ 65 259 15 221 231 ]
Co tutaj robisz?	What are you doing here?	[ 22 78 375 ]
Co tutaj robisz?	What're you doing here?	[ 22 78 375 ]
Jesteś za stary.	You're too old.	[ 49 11 415 ]
Problem w tym, że nie mamy dość pieniędzy.	The problem is we don't have enough money.	[ 336 3 46 10 5 153 268 448 ]
Co ona dzisiaj zrobiła?	What has she done today?	[ 22 125 76 413 ]
On będzie jutro zajęty.	He will be busy tomorrow.	[ 65 51 106 416 ]
On ma kota i dwa psy.	He has a cat and two dogs.	[ 65 12 440 27 109 304 ]
Ciężko mi było go zrozumieć.	I could hardly understand him.	[ 347 9 36 21 385 ]
Jestem ci naprawdę wdzięczny za wszystko.	I'm very grateful to you for everything.	[ 30 18 83 722 11 94 ]
Nie mogę czekać na ciebie.	I can't wait for you.	[ 5 24 691 4 75 ]
Znasz go?	Do you know him?	[ 299 21 ]
Nie pada.	It is not raining.	[ 5 315 ]
Jak szybko on biega?	How fast does he run?	[ 20 101 65 454 ]
Powiedz nam, co to jest.	Tell us what that is.	[ 587 186 22 6 1 ]
Masz dużo książek.	You have many books.	[ 37 42 405 ]
Kto ty jesteś?	Who are you?	[ 337 98 49 ]
Ja widziałem jego.	I saw him.	[ 206 245 34 ]
To jest nowe.	This is new.	[ 6 1 478 ]
To jest nowe.	It's new.	[ 6 1 478 ]
Ona ma rower.	She has a bicycle.	[ 125 12 350 ]
Ona ma rower.	She has a bike.	[ 125 12 350 ]
Nie mam kota.	I do not have a cat.	[ 5 43 440 ]
Nie mam kota.	I don't have a cat.	[ 5 43 440 ]
Czy chciałbyś się ze mną uczyć?	Would you like to study with me?	[ 67 432 2 45 298 136 ]
Pada, powinieneś zostać w domu.	It's raining, so you should stay at home.	[ 315 158 85 3 256 ]
Nie wiem jeszcze dokładnie.	I don't know for certain yet.	[ 5 154 56 439 ]
Nie wiem jeszcze dokładnie.	I don't know exactly yet.	[ 5 154 56 439 ]
W czym problem?	What's the problem?	[ 3 152 336 ]
Nie dotykaj mnie!	Don't touch me!	[ 5 472 14 ]
Ona ma więcej książek.	She has more books.	[ 125 12 113 405 ]
Co oznacza to?	What does it mean?	[ 22 465 6 ]
Nie wierzę!	I don't believe it!	[ 5 324 ]
Ma pan dużo czasu?	Do you have a lot of time?	[ 12 55 42 549 ]
Czy życie nie jest piękne?	Isn't life beautiful?	[ 67 228 5 1 522 ]
Kupił nowy samochód.	He bought a new car.	[ 273 99 122 ]
Jak długo będę musiał tu zostać?	How long do I have to stay here?	[ 20 112 146 593 32 85 ]
To dziecko jeszcze nie chodzi.	The baby is not capable of walking yet.	[ 6 293 56 5 464 ]
Nie mam pieniędzy.	I have no money.	[ 5 43 448 ]
W końcu rozumiem.	I finally understand.	[ 3 320 173 ]
Jesteś tak wysoki, jak moja siostra.	You are as tall as my sister.	[ 49 54 438 20 96 335 ]
Daj mi jeszcze trochę.	Give me some more.	[ 525 9 56 72 ]
Nie było tu wczoraj nikogo.	There was nobody here yesterday.	[ 5 36 32 60 695 ]
Nie lubi tenisa.	He does not like tennis.	[ 5 35 458 ]
Lubię też ciasto.	I also like cake.	[ 47 138 313 ]
Ciasto też lubię.	I also like cake.	[ 313 138 47 ]
O kim mówisz?	Who are you talking about?	[ 13 234 251 ]
Nic nie jesz.	You don't eat anything.	[ 126 5 367 ]
Jest dla mnie za ciepło.	It is too warm for me.	[ 1 31 14 11 774 ]
On będzie tu znowu.	He'll be here again.	[ 65 51 32 517 ]
Mam teraz bardzo mało pieniędzy.	I'm a little low on cash right now.	[ 43 63 15 263 448 ]
Wiem, że możesz zrobić to lepiej.	I know you can make it better.	[ 154 10 104 169 6 557 ]
Skończyłem czytać tą książkę.	I've finished reading the book.	[ 240 137 149 141 ]
Czy możemy ci pomóc?	Can we help?	[ 67 242 18 341 ]
Jego samochód ma dwa lata.	His car is two years old.	[ 34 122 12 109 558 ]
Dzień dobry, w czym mogę pomóc?	Good day, how may I help you?	[ 363 119 3 152 24 341 ]
Jestem jeszcze zajęty.	I'm still busy.	[ 30 56 416 ]
On jeszcze nie przyszedł.	He hasn't come yet.	[ 65 56 5 545 ]
Co robisz tu tak wcześnie?	What are you doing here so early?	[ 22 375 32 54 357 ]
Jak długo pan zostanie?	Until when are you staying?	[ 20 112 55 486 ]
Jak długo pan zostanie?	How long will you stay?	[ 20 112 55 486 ]
Dał jej książkę.	He gave her a book.	[ 331 33 141 ]
Czy nie jest to czarne?	Isn't it black?	[ 67 5 1 6 763 ]
Nie wiem, kiedy przyjdzie.	I don't know when he will come here.	[ 5 154 155 361 ]
Wygląda dokładnie jak jego brat.	He looks exactly like his brother.	[ 142 439 20 34 209 ]
To jest ten chłopiec.	This is the boy.	[ 6 1 23 646 ]
Zawsze chciałem napisać książkę dla dzieci.	One thing I've always wanted to do is write a children's book.	[ 79 139 420 141 31 204 ]
Ojciec kupił mi nowy rower.	Father bought me a new bicycle.	[ 115 273 9 99 350 ]
Chciałem mieć dzieci.	I wanted to have children.	[ 139 166 204 ]
Jej włosy są bardzo krótkie.	Her hair is very short.	[ 33 426 17 15 358 ]
Nie mam żadnych pieniędzy.	I don't have any money.	[ 5 43 185 448 ]
Też jestem nauczycielem.	I am a teacher, too.	[ 138 30 343 ]
Co zrobiła dzisiaj?	What did she do today?	[ 22 413 76 ]
Wygląda na to, że coś się stało.	It seems that something has happened.	[ 142 4 6 10 38 2 992 ]
Wierzę ci.	I believe you.	[ 324 18 ]
Wierzę ci.	I believe in you.	[ 324 18 ]
To jest to, co kocham.	This is what I love.	[ 6 1 6 22 820 ]
Nasz nowy samochód nie jest bardzo duży.	Our new car is not very big.	[ 546 99 122 5 1 15 409 ]
Po prostu nie mam zbyt wiele czasu.	I just don't have much time.	[ 16 370 5 43 108 107 549 ]
On pracuje bardzo ciężko.	He works very hard.	[ 65 258 15 347 ]
Zgadzam się trochę z tym co mówisz.	I agree with what you say to some extent.	[ 798 2 72 8 46 22 251 ]
To kto?	Then who?	[ 6 337 ]
Widziałem już ten film.	I've already seen the film.	[ 245 25 23 393 ]
Ona ma duży pokój dla siebie.	She had the large room to herself.	[ 125 12 409 143 31 309 ]
Ja też.	Me, too.	[ 206 138 ]
Ale ja nie mam pieniędzy.	But I don't have money.	[ 159 206 5 43 448 ]
Bez ciebie nie będzie tak samo.	I would not be the same without you.	[ 62 75 5 51 54 791 ]
To nie jest moja torba.	This isn't my bag.	[ 6 5 1 96 758 ]
Możemy zobaczyć się dziś wieczorem?	Can I see you tonight?	[ 242 182 2 69 371 ]
Bardzo lubię tenisa.	I like tennis very much.	[ 15 47 458 ]
Ty tylko mówisz, a nic nie robisz!	You're all talk and no action!	[ 98 52 251 307 126 5 375 ]
Nie spotkałem jej.	I haven't met her.	[ 5 483 33 ]
Mamy tylko herbatę.	We only have tea.	[ 153 52 316 ]
Skończyłem pisać ten list.	I've finished writing the letter.	[ 240 241 23 191 ]
Nie wiesz jak?	Don't you know how?	[ 5 497 20 ]
Mam na to dość czasu.	I have enough time for that.	[ 43 4 6 268 549 ]
Jesteś zły?	Are you angry?	[ 49 300 ]
Chcesz to powiedzieć, czy ja powinienem?	Do you want to say it or should I?	[ 74 6 291 67 206 403 ]
Lubię psy.	I like dogs.	[ 47 304 ]
Wygląda na to, że była szczęśliwa.	She seems to have been happy.	[ 142 4 6 10 61 830 ]
Mam taki sam słownik jak twój brat.	I have the same dictionary as your brother has.	[ 43 167 225 527 20 39 209 ]
